Date,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,HINDUNILVR,ITC,SBIN,BHARTIARTL,KOTAKBANK,LT,AXISBANK,WIPRO,HCLTECH,ASIANPAINT,MARUTI,SUNPHARMA,TITAN,ULTRACEMCO,NTPC,ONGC,POWERGRID,NESTLEIND,M&M,TECHM,JSWSTEEL,BAJFINANCE,ADANIPORTS,COALINDIA,GRASIM,INDUSINDBK,TATASTEEL,BRITANNIA,APOLLOHOSP,SBILIFE,HINDALCO,UPL,EICHERMOT,SHREECEM,CIPLA,DRREDDY,HEROMOTOCO,TATACONSUM,BAJAJFINSV,ADANIENT
2025-07-14,1470.9964599609375,3100.69189453125,972.94677734375,1513.8638916015625,1412.1041259765625,2471.8291015625,399.89630126953125,794.528564453125,1904.974609375,440.2524108886719,3462.08447265625,1171.7962646484375,243.07000732421875,1553.27490234375,2377.23291015625,12380.0068359375,1667.370849609375,3393.564697265625,12437.1640625,333.30377197265625,231.6803741455078,288.7623291015625,1184.331787109375,3059.9658203125,1520.83984375,1032.966796875,913.2361450195312,1426.986083984375,358.6361389160156,2774.3076171875,866.197021484375,157.19813537597656,5703.2587890625,7201.2099609375,1848.7301025390625,658.214111328125,659.5,5469.57861328125,30951.681640625,1470.2071533203125,1242.7191162109375,4108.2919921875,1062.806884765625,2001.8917236328125,2580.146484375
2025-07-15,1472.6820068359375,3129.1708984375,979.079833984375,1528.614013671875,1419.844482421875,2481.94580078125,402.47076416015625,801.9940185546875,1918.164306640625,437.11602783203125,3460.202880859375,1165.0015869140625,246.0814971923828,1502.0679931640625,2369.215087890625,12401.7705078125,1711.864501953125,3403.8310546875,12423.2529296875,333.206298828125,231.1586151123047,288.6170349121094,1195.913330078125,3096.08642578125,1523.0584716796875,1029.0889892578125,922.7278442382812,1439.0352783203125,361.0653381347656,2768.52880859375,879.5753784179688,155.7872314453125,5710.66162109375,7341.34423828125,1822.266845703125,662.510009765625,673.7999877929688,5519.43212890625,30931.77734375,1477.0430908203125,1252.9542236328125,4303.76806640625,1072.7230224609375,2034.763671875,2597.038818359375
2025-07-16,1472.8802490234375,3121.2548828125,979.4723510742188,1550.112548828125,1415.4781494140625,2472.811279296875,404.8544921875,816.9739990234375,1920.54443359375,435.3780212402344,3469.908203125,1167.4996337890625,251.24404907226562,1498.6158447265625,2386.04248046875,12429.470703125,1685.6043701171875,3406.12353515625,12374.5615234375,333.6447448730469,230.38072204589844,287.6486511230469,1217.5419921875,3163.28076171875,1550.9345703125,1023.9187622070312,916.118408203125,1450.5865478515625,361.0653381347656,2752.38720703125,878.327392578125,154.15097045898438,5711.6484375,7333.365234375,1826.560791015625,658.4609985351562,671.4500122070312,5554.4775390625,30807.373046875,1462.08349609375,1251.463623046875,4275.26318359375,1072.425537109375,2034.26416015625,2607.334228515625
2025-07-17,1463.7591552734375,3098.181640625,974.8602905273438,1526.5894775390625,1407.8370361328125,2465.14990234375,404.2347106933594,814.32177734375,1913.9000244140625,433.6600036621094,3440.396484375,1158.90625,249.1407928466797,1480.491943359375,2374.560302734375,12342.4130859375,1687.9825439453125,3422.0712890625,12416.296875,333.839599609375,231.34832763671875,287.21295166015625,1212.1470947265625,3161.79638671875,1508.300537109375,1028.2935791015625,917.658935546875,1446.4041748046875,360.5514831542969,2756.273193359375,863.7010498046875,156.66903686523438,5732.376953125,7331.3701171875,1800.29736328125,666.1639404296875,692.6500244140625,5577.6767578125,30697.8984375,1468.6220703125,1255.1402587890625,4293.71923828125,1096.5216064453125,2024.772216796875,2615.4306640625
2025-07-18,1463.362548828125,3079.54931640625,960.3862915039062,1529.0960693359375,1414.8826904296875,2445.309326171875,403.09051513671875,808.7717895507812,1901.0,428.1000061035156,3431.285400390625,1098.452880859375,255.21157836914062,1496.824951171875,2358.2275390625,12286.0234375,1678.271240234375,3391.7705078125,12419.2783203125,333.30377197265625,233.66305541992188,284.8404541015625,1223.580078125,3159.223388671875,1494.02490234375,1028.492431640625,936.2446899414062,1437.0435791015625,362.9806823730469,2718.6103515625,868.64306640625,159.08912658691406,5661.30810546875,7284.49267578125,1785.9173583984375,667.4971923828125,686.8499755859375,5555.46484375,30643.16015625,1468.5230712890625,1249.5755615234375,4248.40087890625,1086.7047119140625,2027.86962890625,2594.93994140625
2025-07-21,1416.3682861328125,3048.94580078125,981.5330200195312,1527.36083984375,1454.576416015625,2421.048828125,400.5637512207031,809.6068115234375,1909.199951171875,433.0400085449219,3468.91796875,1098.7525634765625,248.9017791748047,1479.04248046875,2351.298583984375,12272.173828125,1676.983154296875,3421.772216796875,12497.7802734375,332.76788330078125,232.45826721191406,287.6002502441406,1223.778076171875,3212.958984375,1489.1055908203125,1028.8902587890625,942.6553344726562,1444.41259765625,361.392333984375,2731.961669921875,857.4112548828125,159.72601318359375,5608.0068359375,7235.6201171875,1802.1947021484375,674.212646484375,713.75,5486.8544921875,31445.88671875,1460.2010498046875,1251.3642578125,4259.51318359375,1081.1517333984375,2052.148681640625,2618.329345703125
2025-07-22,1400.70361328125,3050.29736328125,984.771240234375,1514.4423828125,1462.316650390625,2435.58544921875,396.6544189453125,800.5697021484375,1906.800048828125,432.0400085449219,3431.08740234375,1097.15380859375,248.28036499023438,1469.0880126953125,2341.2021484375,12358.2421875,1662.8125,3461.043212890625,12373.5673828125,332.0859069824219,233.7579345703125,288.37493896484375,1209.3756103515625,3223.349853515625,1492.385009765625,1024.8135986328125,946.730224609375,1414.7376708984375,363.541259765625,2712.831298828125,841.8364868164062,159.74559020996094,5634.65771484375,7227.64111328125,1806.48876953125,681.4713134765625,722.8499755859375,5369.87109375,32253.59765625,1450.7894287109375,1232.1859130859375,4195.9326171875,1075.6978759765625,2037.861083984375,2586.6435546875
2025-07-23,1412.402587890625,3069.122802734375,993.2103881835938,1517.9129638671875,1477.2017822265625,2406.806640625,395.65325927734375,806.1196899414062,1943.800048828125,434.0799865722656,3451.19091796875,1103.9486083984375,249.9055938720703,1478.4625244140625,2351.298583984375,12491.796875,1667.2718505859375,3460.04638671875,12294.0712890625,334.22930908203125,232.9420928955078,289.779052734375,1213.8299560546875,3234.82958984375,1491.806396484375,1027.89599609375,962.384033203125,1414.8372802734375,365.0829162597656,2699.28076171875,849.773681640625,159.48106384277344,5645.51513671875,7354.310546875,1806.988037109375,686.7548217773438,727.3499755859375,5371.845703125,32024.248046875,1459.8048095703125,1239.539306640625,4216.51416015625,1053.68408203125,2058.7431640625,2613.33154296875
2025-07-24,1390.888427734375,3039.0986328125,988.2548217773438,1496.70361328125,1472.0416259765625,2394.430908203125,390.8857727050781,801.25732421875,1936.0999755859375,428.4200134277344,3443.862548828125,1094.256103515625,250.33583068847656,1456.620849609375,2328.2353515625,12422.5458984375,1676.685791015625,3473.00390625,12226.5,330.18603515625,232.25904846191406,289.8758850097656,1149.2904052734375,3227.011474609375,1445.5069580078125,1027.89599609375,953.0911865234375,1405.67578125,360.2244567871094,2725.9833984375,846.5289306640625,160.17669677734375,5599.61669921875,7344.33642578125,1791.110107421875,686.9523315429688,726.5499877929688,5398.99365234375,31655.29296875,1474.071044921875,1257.525146484375,4219.65283203125,1063.798583984375,2030.5673828125,2607.234130859375
2025-07-25,1379.7841796875,3027.32080078125,985.9922485351562,1461.2261962890625,1465.789794921875,2372.42919921875,390.361328125,792.269287109375,1937.9000244140625,424.9200134277344,3409.59716796875,1085.262939453125,247.8023681640625,1440.0947265625,2312.496337890625,12271.1845703125,1683.622314453125,3451.474609375,12250.0,324.6325988769531,227.95216369628906,282.8553466796875,1125.781005859375,3212.662109375,1410.107177734375,1021.0353393554688,908.1672973632812,1390.4400634765625,355.7864685058594,2698.782470703125,822.3680419921875,158.16812133789062,5521.638671875,7449.06298828125,1829.556640625,684.8290405273438,722.2000122070312,5363.45458984375,30862.5390625,1518.2564697265625,1269.8470458984375,4149.814453125,1045.5528564453125,1984.10693359375,2548.96044921875
